RegionID,SizeRank,RegionName,RegionType,State,City,Metro,CountyName,10_31_2023,11_30_2023,12_31_2023,1_31_2024,March292024
70829,21,30044,zip,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,355466.1624,356531.3312,357231.2272,357817.4275,359129
70828,53,30043,zip,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,407230.8212,408189.9066,408954.9592,409482.796,410881
70810,94,30024,zip,GA,Suwanee,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,589624.749,593870.7437,597502.0467,600123.4581,603391
71067,132,30349,zip,GA,,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,274830.0111,274747.0296,274695.5251,275059.0572,275586
70825,160,30040,zip,GA,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,573437.8431,577679.2617,581616.9886,584830.9299,587961
70826,168,30041,zip,GA,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,623672.2847,628100.9354,631800.7812,634730.7522,638304
70835,170,30052,zip,GA,Loganville,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County,387075.0527,388316.143,389711.3215,391165.1625,393090
70832,181,30047,zip,GA,Lilburn,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,387843.5122,389502.9672,390515.4176,391121.5694,392684
70904,195,30127,zip,GA,Powder Springs,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,364045.4664,364409.945,364372.9272,364332.231,364724
71005,239,30281,zip,GA,Stockbridge,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,302187.2295,302435.0204,302433.1127,302354.784,302366
70791,282,30004,zip,GA,Milton,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,744990.203,751471.5978,756877.2636,760829.8105,764976
70808,285,30022,zip,GA,Johns Creek,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,644006.8122,649112.2308,653231.0944,655535.8214,658010
71038,300,30318,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,395095.8767,396601.3113,397016.2,397582.2801,398190
70839,308,30058,zip,GA,Lithonia,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,266189.5207,266320.9896,266529.7911,266547.4672,266786
70874,310,30096,zip,GA,Duluth,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,402327.6035,404058.6049,405429.3242,406707.8512,408583
70909,329,30135,zip,GA,Douglasville,"Atlanta-Sandy Springs-Alpharetta, GA",Douglas County,323995.2968,324339.6235,324271.0284,323838.2133,323825
70953,345,30188,zip,GA,Woodstock,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County,444910.4669,446639.9483,448049.4751,449546.8555,451652
70842,359,30062,zip,GA,Marietta,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,525678.2141,527168.2289,528344.3938,529091.8024,531309
71719,366,31907,zip,GA,Columbus,"Columbus, GA-AL",Muscogee County,143585.9619,144479.6029,144809.4426,145103.3402,145474
71050,428,30331,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,296048.7048,296096.1771,295880.8112,295890.8726,295853
70917,433,30144,zip,GA,Kennesaw,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,386379.2414,387121.6723,388147.7441,389085.1456,390854
70878,441,30101,zip,GA,Acworth,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,430056.8801,430655.116,431297.3346,431860.1541,433125
70862,480,30083,zip,GA,Stone Mountain,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,268560.0765,268586.532,269272.1462,269767.7436,270735
71342,488,30906,zip,GA,Augusta,"Augusta-Richmond County, GA-SC",Richmond County,135925.6009,135710.4346,135217.9722,134751.4145,134954
70984,508,30253,zip,GA,McDonough,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,329141.1152,329420.9651,329424.4334,329489.2265,329744
70846,514,30066,zip,GA,Marietta,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,434210.8267,435267.8423,436042.6384,436573.5054,438055
70803,528,30016,zip,GA,Covington,"Atlanta-Sandy Springs-Alpharetta, GA",Newton County,288396.0012,289195.814,289361.194,289428.0415,289537
71168,570,30518,zip,GA,Buford,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,452716.7793,454505.5172,456160.9569,457309.9394,458933
71434,596,31088,zip,GA,Warner Robins,"Warner Robins, GA",Houston County,218668.7272,219320.1378,219640.4993,219907.1076,220431
70891,604,30114,zip,GA,Canton,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County,446895.9379,449004.8867,450610.7369,452076.9628,453675
70991,634,30263,zip,GA,Newnan,"Atlanta-Sandy Springs-Alpharetta, GA",Coweta County,323364.5179,324547.0204,325120.348,325478.7526,325990
70854,672,30075,zip,GA,Roswell,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,672310.5824,676717.1883,679990.5074,681252.8859,683632
71532,692,31419,zip,GA,Savannah,"Savannah, GA",Chatham County,297855.867,300031.109,301508.0269,302685.6007,303669
70859,827,30080,zip,GA,Smyrna,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,489191.5771,491262.5774,492596.1741,493530.1167,494849
71319,842,30809,zip,GA,Evans,"Augusta-Richmond County, GA-SC",Columbia County,381601.3068,380611.8818,380001.9563,380202.9597,380845
71286,871,30721,zip,GA,Dalton,"Dalton, GA",Whitfield County,204964.1248,206346.5365,207687.4894,208353.5684,209296
71169,883,30519,zip,GA,Buford,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,462492.6865,464271.2472,466203.6786,467815.9316,470009
70806,922,30019,zip,GA,Dacula,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,449274.6495,450266.1741,450937.2612,451425.3068,452725
70892,958,30115,zip,GA,Canton,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County,509589.3882,512708.0214,514930.0385,516636.9068,518578
70975,969,30236,zip,GA,,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,270560.564,271008.2229,271406.4695,271765.8539,272198
70983,982,30252,zip,GA,McDonough,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,385419.5726,385206.0329,385124.6581,384997.2903,385301
70871,1003,30093,zip,GA,Norcross,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,309504.187,310814.182,311644.2558,312254.5031,313569
70844,1035,30064,zip,GA,Marietta,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,485889.5908,487151.1417,488148.0514,489103.9933,491292
70875,1041,30097,zip,GA,Duluth,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,706063.9549,709702.137,712092.1517,712589.7566,714292
70824,1095,30039,zip,GA,Snellville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,346937.6474,346939.3816,347158.6831,347268.2884,348026
71343,1130,30907,zip,GA,Martinez,"Augusta-Richmond County, GA-SC",Columbia County,247648.0861,247832.2845,247854.7071,248060.3596,248441
70970,1133,30228,zip,GA,Hampton,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,318473.0147,318463.2075,318369.1744,318413.5556,318962
70929,1159,30157,zip,GA,Dallas,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County,322685.0464,322830.423,322610.6448,322570.5363,323003
70817,1185,30032,zip,GA,Decatur,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,265906.2514,265793.7287,266425.283,266849.8941,267927
70906,1254,30132,zip,GA,Dallas,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County,370740.1478,370944.4656,370907.7916,371200.3012,371677
71230,1278,30606,zip,GA,Athens,"Athens-Clarke County, GA",Clarke County,352217.3605,353404.1879,355147.9636,357005.8402,358577
70847,1322,30067,zip,GA,Marietta,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,515100.5137,517245.0652,518718.1392,519349.1918,520790
71158,1324,30506,zip,GA,Gainesville,"Gainesville, GA",Hall County,420315.3111,421929.9386,423065.7433,423458.6761,424416
71275,1342,30680,zip,GA,Winder,"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County,326044.2074,326869.2172,327375.8481,327748.3976,328489
70925,1368,30152,zip,GA,Kennesaw,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,472413.6893,472903.0013,473563.0775,474246.9605,476443
71323,1396,30813,zip,GA,Grovetown,"Augusta-Richmond County, GA-SC",Columbia County,290620.8711,290236.7278,289848.2393,289763.9464,289908
71298,1401,30736,zip,GA,Ringgold,"Chattanooga, TN-GA",Catoosa County,290959.2994,292140.1016,292792.666,293677.0872,295024
70819,1422,30034,zip,GA,Decatur,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,262543.8951,262642.9821,262919.5856,262628.4335,262612
70855,1423,30076,zip,GA,Roswell,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,559796.1198,563899.0899,567037.2425,568927.4862,570697
71325,1456,30815,zip,GA,Hephzibah,"Augusta-Richmond County, GA-SC",Richmond County,199017.5012,199961.6456,200683.9667,201386.072,202339
70935,1461,30165,zip,GA,Rome,"Rome, GA",Floyd County,216702.8682,217928.2469,219100.2253,219988.5114,220937
70959,1470,30213,zip,GA,Fairburn,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,333866.3885,334119.374,334325.0031,334877.4134,335286
71344,1478,30909,zip,GA,Augusta,"Augusta-Richmond County, GA-SC",Richmond County,257166.4374,257570.2249,257605.206,257413.8031,257158
71039,1481,30319,zip,GA,Brookhaven,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,774270.7398,777996.0593,780083.2882,780552.8718,781360
70830,1501,30045,zip,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,393458.3322,393993.933,394618.0073,395419.5564,396782
70908,1537,30134,zip,GA,Douglasville,"Atlanta-Sandy Springs-Alpharetta, GA",Douglas County,293259.0183,293187.1891,292849.5795,292415.336,292612
71141,1547,30458,zip,GA,Statesboro,"Statesboro, GA",Bulloch County,228387.3635,230661.8419,232659.7297,234548.9722,236208
71499,1550,31313,zip,GA,Hinesville,"Hinesville, GA",Liberty County,218379.2966,219702.8913,220708.5348,221547.2162,222549
70903,1649,30126,zip,GA,Mableton,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,378929.9294,379090.3625,379275.727,379736.9012,381146
71410,1655,31061,zip,GA,Milledgeville,"Milledgeville, GA",Baldwin County,182225.6173,183277.3906,184357.8971,184848.7881,185262
70954,1677,30189,zip,GA,Woodstock,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County,435821.143,437834.4812,439299.5672,440504.2294,442375
70831,1697,30046,zip,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,340047.5671,341095.925,341956.396,342688.6228,343949
70823,1777,30038,zip,GA,Lithonia,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,278767.1475,278873.1421,279009.2048,278889.823,279208
70840,1811,30060,zip,GA,Marietta,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,332831.3821,333571.123,334324.68,335293.8924,337031
71229,1823,30605,zip,GA,Athens,"Athens-Clarke County, GA",Clarke County,312747.1596,314343.0197,316109.3215,317632.4694,318905
