INSTN_NUMBER,INSTN_NAME_x,SCHOOL_DSTRCT_NM_SAT,SCHOOL_DISTRCT_CD,SAT_AVG_SCORE,ACT_AVG_SCORE,HOPE_ELIGIBLE_PCT,ENROLLMENT_COUNT,PROGRAM_PERCENT
100,Chapel Hill High School,Douglas County,648,960.00,19.30,35.17,338.63,87.07
101,Apalachee High School,Barrow County,607,1020.93,19.71,50.38,372.18,90.18
102,Cedar Shoals High School,Clarke County,629,996.67,19.33,47.23,299.17,82.75
103,Appling County High School,Appling County,601,991.67,19.58,51.12,325.98,89.45
104,Classic City High School,Clarke County,629,940.33,18.65,40.93,259.73,87.76
105,Baker County K12 School,Baker County,604,1001.92,19.36,49.04,312.94,87.84
106,Berrien Academy Performance Learning Center,Berrien County,610,1023.00,20.72,56.64,338.52,91.01
107,Pepperell High School,Floyd County,657,1074.33,21.27,51.56,599.00,94.12
108,Jasper County High School,Savannah-Chatham County,679,959.00,18.65,35.78,286.17,67.15
109,Heritage High School,Catoosa County,623,1081.00,21.00,59.59,526.00,90.15
110,Brooks County High School,Brooks County,614,1000.80,18.48,48.22,134.85,90.50
111,Cook High School,Cook County,637,1024.40,20.18,52.56,289.53,92.18
112,Grovetown High School,Colquitt County,636,1034.00,19.90,48.29,292.56,91.23
113,Calhoun County High School,Calhoun County,619,,,29.27,41.13,88.65
114,Cass High School,Bartow County,608,1049.67,19.77,52.94,220.63,93.67
115,Bleckley County Success Academy,Savannah-Chatham County,612,993.33,18.10,58.23,349.08,90.82
116,New Beginning Learning Center,Houston County,643,,,,,62.23
117,New Hampstead High School,Savannah-Chatham County,625,922.00,,32.81,345.00,93.12
118,Hapeville Charter Career Academy,Fulton County,660,919.50,15.50,36.69,165.75,92.02
119,Cambridge High School,Fulton County,660,1137.00,24.10,74.60,435.13,95.90
120,Georgia Cyber Academy (Virtual),State Charter Schools- Georgia Cyber Academy,7820120,,,43.19,,63.29
172,Cedar Grove High School,DeKalb County,644,905.00,15.40,29.41,276.00,77.10
173,Newton High School,Newton County,707,928.00,17.30,43.73,615.13,90.87
174,Jefferson High School,Jefferson City,779,1088.00,19.80,67.24,302.50,95.51
175,Walton High School,Cobb County,633,1049.25,21.13,54.64,379.16,88.28
176,Etowah High School,Cherokee County,628,970.75,18.63,46.83,393.41,86.88
177,Rabun County High School,Rabun County,719,1038.00,,52.67,160.88,96.30
182,Richmond Hill High School,Bryan County,615,1019.50,20.47,51.79,442.54,92.12
183,Baker County Learning Academy,Columbia County,604,1026.00,18.90,53.05,303.13,86.43
184,Mary Persons High School,Monroe County,702,1013.00,20.00,48.58,318.00,93.70
185,Shiloh High School,Gwinnett County,667,960.00,16.70,41.53,542.75,76.38
186,Central High School,Bibb County,611,946.50,17.50,43.18,285.56,90.68
187,Alexander High School,Douglas County,648,969.00,18.57,41.02,489.88,83.98
188,Pope High School,Cobb County,633,1143.00,24.80,72.63,451.88,94.57
189,Baldwin High School,Baldwin County,605,1006.00,19.70,44.31,278.52,79.54
190,Jackson High School,Butts County,618,999.80,20.16,47.63,395.40,89.92
191,Sequoyah High School,Cherokee County,628,1067.60,22.26,59.87,464.95,90.50
192,Harrison High School,Cobb County,633,1000.00,19.69,48.93,367.49,90.25
193,Crawford County High School,Crawford County,639,1015.33,19.10,47.87,331.08,89.08
194,Pike County High School,Pike County,714,1021.00,21.10,53.64,264.25,92.84
195,Coffee County High School,Coffee County,634,1020.50,19.95,54.76,404.00,85.42
196,Northgate High School,Coweta County,638,968.00,19.40,48.83,298.97,89.95
197,Woodstock High School,Cherokee County,628,1061.25,21.30,55.79,395.53,91.26
198,Woodland High School,Bartow County,608,1060.00,21.72,54.27,329.75,90.80
199,Banks County High School,Banks County,606,1022.67,19.47,49.09,287.79,93.09
201,Jenkins County High School,Jenkins County,682,976.00,18.40,47.54,99.81,89.41
202,Lithonia High School,DeKalb County,644,981.00,18.35,46.42,350.75,84.71
203,Southeast Bulloch High School,Bulloch County,616,1119.33,23.03,62.37,381.63,96.16
204,Rutland High School,Bibb County,611,948.00,,45.11,148.88,87.72
205,Dooly County Prep Academy,Fulton County,646,999.75,20.77,56.84,290.53,90.44
206,Chattahoochee County High School,Chattahoochee County,626,948.00,18.50,40.50,306.50,91.69
207,Harpst Academy,,715,,,,,
208,AZ Kelsey Academy,Griffin-Spalding County,726,,,,12.00,96.66
209,Allatoona High School,Cobb County,633,1078.00,21.50,60.00,443.70,90.85
210,The School of Liberal Studies at Savannah High,Savannah-Chatham County,625,837.00,,49.20,115.81,89.47
211,Gordon Lee High School,Chickamauga City,769,986.00,18.10,54.39,118.31,95.84
212,Mt. Zion High School,Carroll County,622,966.00,17.05,31.18,219.07,82.10
